label	fix
A/Mich/45/15	A/Michigan/45/2015
A/MuteSwan/Sweden/SVA150313KU0141/SZ543/2015	A/MuteSwan/Sweden/SVA150313KU0141_SZ543/2015
A/MuteSwan/Sweden/SVA150311KU0277/SZ502/2015	A/MuteSwan/Sweden/SVA150311KU0277_SZ502/2015
A/Myanmar16M424/2016	A/Myanmar/16M424/2016
A/NADYM/RII-46578S	A/Nadym/RII-46578S/2021
A/NewYork/WC-LVD-14-102/0214	A/NewYork/WC-LVD-14-102/2014
A/North-WestAuckland/1/2018	A/NorthWestAuckland/1/2018
A/Ostrich/South_Africa/S2017/08_0362_P8_34/2017	A/Ostrich/South_Africa/S2017_08_0362_P8_34/2017
A/Ostrich/South_Africa/S2017/08_0046_AF/2017	A/Ostrich/South_Africa/S2017_08_0046_AF/2017
A/Ostrich/South_Africa/S2017/08_0362_P7/2017	A/Ostrich/South_Africa/S2017_08_0362_P7/2017
A/Ostrich/South_Africa/S2017/08_0161_P8/2017	A/Ostrich/South_Africa/S2017_08_0161_P8/2017
A/Ostrich/South_Africa/S2017/08_0362_P8_33/2017	A/Ostrich/South_Africa/S2017_08_0362_P8_33/2017
A/Ostrich/South_Africa/S2017/08_0046_P3/2017	A/Ostrich/South_Africa/S2017_08_0046_P3/2017
A/Ostrich/South_Africa/S2017/08_0362_P11/2017	A/Ostrich/South_Africa/S2017_08_0362_P11/2017
A/Ostrich/South_Africa/S2017/08_0047_P7/2017	A/Ostrich/South_Africa/S2017_08_0047_P7/2017
A/Ostrich/South_Africa/S2017/08_0362_P10/2017	A/Ostrich/South_Africa/S2017_08_0362_P10/2017
A/Ostrich/South_Africa/S2017/08_0268_P9/2017	A/Ostrich/South_Africa/S2017_08_0268_P9/2017
A/Ostrich/South_Africa/S2017/08_0268_P2/2017	A/Ostrich/South_Africa/S2017_08_0268_P2/2017
A/Ostrich/South_Africa/S2017/08_0361_P17/2017	A/Ostrich/South_Africa/S2017_08_0361_P17/2017
A/Ostrich/South_Africa/S2017/08_0046_P2/2017	A/Ostrich/South_Africa/S2017_08_0046_P2/2017
A/Peregrinefalcon/Sweden/SVA201117SZ0467/20KN003345/2020	A/Peregrinefalcon/Sweden/SVA201117SZ0467_20KN003345/2020
A/Pigeon/South_Africa/S2017/08_0324_24/2017	A/Pigeon/South_Africa/S2017_08_0324_24/2017
A/Pigeon/South_Africa/S2017/08_0323_P1/2017	A/Pigeon/South_Africa/S2017_08_0323_P1/2017
A/PtoMontt75856/2015	A/PtoMontt/75856/2015
A/PtoMontt75856/2015	A/PuertoMontt/75856/2015
A/RheinlandPfalz/1/201	A/RheinlandPfalz/1/2015
A/SINGAPORE/GP1908/15IVR-180	A/Singapore/GP1908/2015
A/SINGAPORE/INFIMH-16-0019/2016	A/Singapore/Infimh-16-0019/2016
A/Saint-Petersburg/2174/V2019	A/StPetersburg/2174/2019
A/Saitama/103	A/Saitama/103/2014
A/Saitama/103(E20)	A/Saitama/103/2014
A/Saitama/103(E8)	A/Saitama/103/2014
A/Saitama/103CEXP002	A/Saitama/103/2014
A/Sappro/18/2016	A/Sapporo/18/2016
A/Singapore/INFIMH-16-0019	A/Singapore/INFIMH-16-001/2016
A/Singapore/INFIMH-16-0019/16	A/Singapore/Infimh-16-0019/2016
A/Singapore/INFIMH-16-0019/2016	A/Singapore/Infimh-16-0019/2016
A/SouthAfrica/R07338/18	A/SouthAfrica/R07338/2018
A/South_lebanon/Saida/9/2019	A/Saida/9/2019
A/South_lebanon/Tyre/NS20/2019	A/Tyre/NS20/2019
A/Swan/South_Africa/S2017/08_0517_P2/2017	A/Swan/South_Africa/S2017_08_0517_P2/2017
A/Turkey/Italy/1980	A/Turkey/Italy/1/1980
A/Turkey/Sweden/SVA201114SZ0001/20KN303106/2020	A/Turkey/Sweden/SVA201114SZ0001_20KN303106/2020
A/Usti208/09	A/Usti/208/2009
A/Valencia/07_0861_20200103	A/Valencia/07_0861/2020
A/Valencia/07_0962_20200113	A/Valencia/07_0962/2020
A/Valencia/07_0991_20200115	A/Valencia/07_0991/2020
A/Valencia/07_1047_20200121	A/Valencia/07_1047/2020
A/Valencia/07_1105_20200128	A/Valencia/07_1105/2020
A/Valencia/07_1116_20200129	A/Valencia/07_1116/2020
A/Valencia/07_1162_20200203	A/Valencia/07_1162/2020
A/Valencia/07_1390_20200304	A/Valencia/07_1390/2020
A/Valencia/07_1417_20200307	A/Valencia/07_1417/2020
A/Valencia/10_0046_20191102	A/Valencia/10_0046/2019
A/Valencia/10_0647_20191224	A/Valencia/10_0647/2019
A/Valencia/10_0691_20191228	A/Valencia/10_0691/2019
A/Valencia/10_0745_20200102	A/Valencia/10_0745/2020
A/Valencia/10_0795_20200104	A/Valencia/10_0795/2020
A/Valencia/10_0883_20200111	A/Valencia/10_0883/2020
A/Valencia/10_0886_20200113	A/Valencia/10_0886/2020
A/Valencia/10_0904_20200113	A/Valencia/10_0904/2020
A/Valencia/10_0916_20200114	A/Valencia/10_0916/2020
A/Valencia/10_0984_20200118	A/Valencia/10_0984/2020
A/Valencia/10_0991_20200118	A/Valencia/10_0991/2020
A/Valencia/10_1011_20200120	A/Valencia/10_1011/2020
A/Valencia/10_1017_20200120	A/Valencia/10_1017/2020
A/Valencia/10_1065_20200125	A/Valencia/10_1065/2020
A/Valencia/10_1070_20200125	A/Valencia/10_1070/2020
A/Valencia/10_1103_20200127	A/Valencia/10_1103/2020
A/Valencia/10_1182_20200131	A/Valencia/10_1182/2020
A/Valencia/10_1227_20200203	A/Valencia/10_1227/2020
A/Valencia/10_1242_20200203	A/Valencia/10_1242/2020
A/Valencia/10_1292_20200206	A/Valencia/10_1292/2020
A/Valencia/10_1312_20200208	A/Valencia/10_1312/2020
