label	fix
A/Duck/SouthAfrica/S2017/080340P1/2017	south_africa
A/Duck/SouthAfrica/S2017/080340P2/2017	south_africa
A/Duck/SouthAfrica/S2017/080481P2/2017	south_africa
A/Duck/Wuxi/403	jiangsu
A/Duck/Wuxi/405	jiangsu
A/Duck/Sunan/408	jiangsu
A/Env/GD-MZ073/H7N9/2017-05-23	guangdong
A/Env/GD-YJ370/H7N9/2017-09-14	guangdong
A/Environment/GD-JY_201/H7N9/2014	guangdong
A/Environment/GD-MZ_238/H7N9/2014-4	guangdong
A/Environment/GD-ST_100/H7N9/2014	guangdong
A/Environment/GD-ST_101/H7N9/2014-2	guangdong
A/Environment/GD-ST_98/H7N9/2014	guangdong
A/Environment/GD-ST_99/H7N9/2014	guangdong
A/Environment/GD-SZ_1/H7N9/2013	guangdong
A/Environment/GD-SZ_228/H7N9/2013	guangdong
A/Environment/GD-SZ_236/H7N9/2013	guangdong
A/Environment/GD-SZ_237/H7N9/2013	guangdong
A/Environment/GD-SZ_293/H7N9/2013	guangdong
A/Environment/GD-SZ_294/H7N9/2013	guangdong
A/Environment/GD-SZ_295/H7N9/2013	guangdong
A/Environment/GD-SZ_296/H7N9/2013	guangdong
A/Environment/GD-YJ_3/H7N9/2013	guangdong
A/Environment/GD-YJ_307/H7N9/2013	guangdong
A/Environment/GD-YJ_327/H7N9/2013	guangdong
A/Environment/GD-YJ_329/H7N9/2013	guangdong
A/Environment/GD-YJ_338/H7N9/2013	guangdong
A/Environment/GD-YJ_359/H7N9/2013	guangdong
A/Environment/GD-YJ_364/H7N9/2013	guangdong
A/Environment/GD-YJ_365/H7N9/2013	guangdong
A/Environment/GD-YJ_366/H7N9/2013	guangdong
A/Environment/GD-YJ_368/H7N9/2013	guangdong
A/Environment/GD-YJ_370/H7N9/2013	guangdong
A/Environment/GD-YJ_371/H7N9/2013	guangdong
A/Environment/GD-YJ_373/H7N9/2013	guangdong
A/Environment/GD-YJ_379/H7N9/2013	guangdong
A/Environment/GD-ZS_162/H7N9/2014-5	guangdong
A/Environment/GD-ZS_21/H7N9/2014-3	guangdong
A/Environment/GD-ZS_2151/H7N9/2014	guangdong
A/Environment/GD-ZS_2154/H7N9/2014	guangdong
A/Environment/GD-ZS_2155/H7N9/2014	guangdong
A/Environment/GD-ZS_704/H7N9/2014	guangdong
A/Environment/Nanjing/2913	jiangsu
A/Gd-Jy/7/2016	guangdong
A/Gd-St018/H7N9/2017-01-24	guangdong
A/Gd-Sw033/H7N9/2015-02-24	guangdong
A/Gd-Zs029/H7N9/2017-03-28	guangdong
A/Geese/SouthAfrica/S2017/08052046/2017	south_africa
A/Geese/SouthAfrica/S2017/080558P1/2017	south_africa
A/Geese/SouthAfrica/S2017/080558P2/2017	south_africa
A/Geese/SouthAfrica/S2017/090055P1/2017	south_africa
A/Geese/SouthAfrica/S2017/090055P2/2017	south_africa
A/Geese/SouthAfrica/S2017/090065P1/2017	south_africa
A/Geese/SouthAfrica/S2017/090065P2/2017	south_africa
A/Goose/Jiangsu/1027	jiangsu
A/Guangdong/CHN/871/2015	guangdong
A/Guangdong/CHN/ST021/2016	guangdong
A/Guangdong/CHN/ST051/2016	guangdong
A/Guineafowl/SouthAfrica/S2017/0801909/2017	south_africa
A/Guineafowl/SouthAfrica/S2017/080243P1/2017	south_africa
A/Guineafowl/SouthAfrica/S2017/080243P2/2017	south_africa
A/Guineafowl/SouthAfrica/S2017/080274P1/2017	south_africa
A/Minhang/S01/2013	shanghai
A/MuteSwan/Sweden/SVA150311KU0277/SZ502/2015	sweden
A/MuteSwan/Sweden/SVA150313KU0141/SZ543/2015	sweden
A/Ostrich/SouthAfrica/S2017/080046AF/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080046P2/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080046P3/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080047P7/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080161P8/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080268P2/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080268P9/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080361P17/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080362P10/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080362P11/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080362P7/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080362P833/2017	south_africa
A/Ostrich/SouthAfrica/S2017/080362P834/2017	south_africa
A/Peregrinefalcon/Sweden/SVA201117SZ0467/20KN003345/2020	sweden
A/Pigeon/SouthAfrica/S2017/080323P1/2017	south_africa
A/Pigeon/SouthAfrica/S2017/08032424/2017	south_africa
A/Pigeon/Wuxi/405	jiangsu
A/RuddyShelduck/AN/21412/2016	ukraine
A/Silkiechicken/Dongguan/1264	guangdong
A/Silkiechicken/Dongguan/1268	guangdong
A/Silkiechicken/Dongguan/1271	guangdong
A/Silkiechicken/Dongguan/1274	guangdong
A/Silkiechicken/Dongguan/1448	guangdong
A/Silkiechicken/Dongguan/1450	guangdong
A/Silkiechicken/Dongguan/1451	guangdong
A/Silkiechicken/Dongguan/1516	guangdong
A/Silkiechicken/Dongguan/1519	guangdong
A/Silkiechicken/Dongguan/1641	guangdong
A/Silkiechicken/Dongguan/3049	guangdong
A/Silkiechicken/Dongguan/3166	guangdong
A/Silkiechicken/Dongguan/3275	guangdong
A/Silkiechicken/Dongguan/3281	guangdong
A/Silkiechicken/Dongguan/3284	guangdong
A/Silkiechicken/Dongguan/3520	guangdong
A/Silkiechicken/Dongguan/3522	guangdong
A/Silkiechicken/Dongguan/3525	guangdong
A/Silkiechicken/Dongguan/3526	guangdong
